"column_name","data_type","is_nullable","column_default"
"list_id","bigint","NO","null"
"list_name","character varying","NO","null"
"list_type","character varying","NO","null"
"creator_id","uuid","NO","null"
"updated_id","bigint","NO","null"
"editing_user_id","bigint","YES","null"
"is_url_issued","boolean","NO","false"
"url","character varying","YES","null"
"is_voting_completed","boolean","NO","false"
"is_aggregation_completed","boolean","NO","false"
"voting_start_at","timestamp with time zone","NO","null"
"created_at","timestamp with time zone","NO","now()"
"updated_at","timestamp with time zone","NO","now()"
"outing_at","time with time zone","NO","null"